"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"10000111","公务卡78短信版","公务卡78短信版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"10000114","公务卡45短信版","公务卡45短信版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"10000115","公务卡45来显版","公务卡45来显版","普通GSM业务","2005/4/15","2050/1/1","非组合产品","消亡"
"30000041","吉祥卡(西青)","吉祥卡(西青)","普通GSM业务","2006/9/1","2050/1/1","非组合产品","审批"
"10000086","至尊98","至尊98","普通GSM业务","2007/1/1","2050/1/1","非组合产品","停售"
"10000089","至尊198","至尊198","普通GSM业务","2007/1/1","2050/1/1","非组合产品","停售"
"20000009","校园新休闲B卡","校园新休闲B卡","普通GSM业务","2004/9/22","2050/1/1","非组合产品","停售"
"10000092","本通二代20元免被叫3","本通二代20元免被叫3","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"20000012","校园套餐（新DIY）","校园套餐（新DIY）","普通GSM业务","2009/1/14","2050/1/1","非组合产品","停售"
"30000011","无月租本地通","无月租本地通","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"40000005","免市话,月租","免市话,月租","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000006","FR4","FR4","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000024","免全部通话费","免全部通话费","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000029","任我行888卡","任我行888卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000091","世界风156","世界风156","普通GSM业务","2007/8/20","2050/1/1","非组合产品",""
"10000064","GSM公务30套餐","GSM公务30套餐","普通GSM业务","2008/12/25","2050/1/1","非组合产品","停售"
"10000068","商旅卡300GSM","商旅卡300GSM","普通GSM业务","2006/3/24","2050/1/1","非组合产品",""
"20000002","GSMUp新势力B卡（双模）","GSMUp新势力B卡（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品",""
"30000005","2008如意卡","2008如意卡","PPS业务","2008/7/20","2050/1/1","非组合产品",""
"30000006","休闲卡","休闲卡","PPS业务","2008/7/20","2050/1/1","非组合产品",""
"10000099","GSM汉沽单向卡","GSM汉沽单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000102","GSM津南单向卡","GSM津南单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000120","GSM公务75套餐","GSM公务75套餐","普通GSM业务","2006/11/1","2050/1/1","非组合产品","停售"
"40000051","GS1","GS1","普通GSM业务","1997/9/22","2004/1/1","非组合产品",""
"10000082","GSM公务45套餐（双模）","GSM公务45套餐（双模）","GC双模G网签约业务","2007/7/5","2050/1/1","非组合产品","审批"
"30000031","吉祥卡(滨海)","吉祥卡(滨海)","普通GSM业务","2006/9/12","2050/1/1","非组合产品","审批"
"30000032","吉祥卡(静海)","吉祥卡(静海)","普通GSM业务","2006/9/11","2050/1/1","非组合产品","停售"
"40000036","商务卡","商务卡","普通GSM业务","2003/4/21","2050/1/1","非组合产品",""
"10000032","喜相逢西青卡","喜相逢西青卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000035","喜相逢宁河卡","喜相逢宁河卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
