"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS固定电话","80004808","共享时长(1+1+1+2)市区69元ADSL包月固话","2009/8/22","2050/12/31","14.5","1"
"BSS固定电话","80004812","共享时长(1+1+1+2)市区99元ADSL包月固话","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80004841","共享时长(1+0+1+2)市区69元固话","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001907","大众电话最低消费52+1元","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80000061","30B+D(1485元)","2009/8/22","2050/12/31","5940","2"
"BSS无线市话","80003230","时尚津灵通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80003436","亲情在线市区(28元)","2009/8/22","2050/12/31","181563.63","5722"
"BSS固定电话","80003457","大众电话最低消费58+3元","2009/8/22","2050/12/31","0","0"
"BSS语音增值业务","80003536","连锁查询800元/年","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80004244","宽带商务套餐六固定电话","2009/8/22","2050/12/31","2159.75","56"
"BSS语音增值业务","80004419","4006业务-光大永明人寿保险资费","2009/8/22","2050/12/31","0","0"
"BSS互联网","80004535","区县亲情1+生活套餐宽带","2009/8/22","2050/12/31","0","0"
"BSS互联网","80004560","银联VPN平台租用月租费40元/月","2009/8/22","2050/12/31","40","1"
"BSS网元出租","80001600","数据专线","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001610","塘沽甲种ISDN（双号）","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001612","塘沽虚拟乙种ISDN（单号）","2009/8/22","2050/12/31","20","2"
"BSS广告传媒业务","80000518","卡面/账单广告","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001148","亲情在线区县(18元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001151","亲情在线区县(78元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001128","固话亲情随身市区(106元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001130","固话亲情随身区县(39元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001299","大众电话最低消费20+3元","2009/8/22","2050/12/31","25","1"
"BSS固定电话","80001337","固话亲情随身区县(99元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001344","固话亲情无线区县(84元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001355","固话亲情无线区县(144元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80003145","亲情在线区县(28元)","2009/8/22","2050/12/31","18136.88","559"
"BSS无线市话","80003395","津灵通(绿色风暴)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80003231","随意通","2009/8/22","2050/12/31","0","0"
"BSS互联网","80003414","假日套餐一40元限时包月","2009/8/22","2050/12/31","160","4"
"BSS固定电话","80003463","大众电话最低消费44+3元","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80003465","大众电话最低消费40+3元","2009/8/22","2050/12/31","0","0"
"BSS其他主营业务","80003675","重点通信报障服务","2009/8/22","2050/12/31","0","0"
"BSS语音增值业务","80003967","商务总机(新)","2009/8/22","2050/12/31","24240","169"
"BSS互联网","80004088","宽带商务套餐四ADSL（2MFTTH20M）","2009/8/22","2050/12/31","45199","286"
"BSS互联网","80004247","宽带商务套餐三ADSL（1MFTTH10M）","2009/8/22","2050/12/31","3564","33"
"BSS互联网增值业务","80004384","宽带我家宽带型","2009/8/22","2050/12/31","0","0"
"BSS语音增值业务","80004599","4006业务-渤海财产保险资费","2009/8/22","2050/12/31","0","0"
